instancia,algoritmo,seed,best,tiempo,gap_%,history
berlin52.tsp,GA,0,10698.224371495973,3.014739513397217,41.84863924020118,"[np.float64(25179.88016745321), np.float64(25179.88016745321), np.float64(25029.696812608498), np.float64(23292.23645743264), np.float64(22574.00223380215), np.float64(22574.00223380215), np.float64(21886.67430665958), np.float64(21886.67430665958), np.float64(21294.380614002363), np.float64(20680.61268482004), np.float64(20680.61268482004), np.float64(20164.1815934093), np.float64(19840.516656779244), np.float64(19219.5314380084), np.float64(18398.300806164454), np.float64(17830.038877613315), np.float64(17739.025905841736), np.float64(17739.025905841736), np.float64(16663.889805020262), np.float64(16663.889805020262), np.float64(16413.86575629741), np.float64(16413.86575629741), np.float64(15553.14369695155), np.float64(15553.14369695155), np.float64(15112.66364395148), np.float64(15112.66364395148), np.float64(15107.388700975087), np.float64(15091.084806773764), np.float64(14814.313452257764), np.float64(14814.313452257764), np.float64(14578.681972296563), np.float64(14566.176937992059), np.float64(14566.176937992059), np.float64(14442.103610362668), np.float64(14368.49750036055), np.float64(14174.216568099415), np.float64(14174.216568099415), np.float64(14137.107821511992), np.float64(13972.78547965505), np.float64(13953.468283443162), np.float64(13953.468283443162), np.float64(13953.468283443162), np.float64(13931.996778347293), np.float64(13931.996778347293), np.float64(13931.996778347293), np.float64(13909.018341086), np.float64(13869.393441986926), np.float64(13847.921936891053), np.float64(13833.22020860426), np.float64(13273.711017298869), np.float64(13250.732580037577), np.float64(13240.235166974206), np.float64(13240.235166974206), np.float64(13226.914387238223), np.float64(13207.690357080612), np.float64(13207.690357080612), np.float64(13166.209962757377), np.float64(13078.203215174495), np.float64(13078.203215174495), np.float64(13078.203215174495), np.float64(12759.500495826616), np.float64(12759.500495826616), np.float64(12684.471275126563), np.float64(12598.440169656798), np.float64(12598.440169656798), np.float64(12544.542590635632), np.float64(12233.46088306503), np.float64(12233.46088306503), np.float64(12233.46088306503), np.float64(12184.956919607144), np.float64(11904.020816115164), np.float64(11904.020816115164), np.float64(11716.34713055414), np.float64(11716.34713055414), np.float64(11716.34713055414), np.float64(11716.34713055414), np.float64(11716.34713055414), np.float64(11607.536665566824), np.float64(11600.397642006408), np.float64(11435.561186259476), np.float64(11435.561186259476), np.float64(11319.611697711744), np.float64(11319.611697711744), np.float64(11319.611697711744), np.float64(11319.611697711744), np.float64(11302.373950264904), np.float64(11302.373950264904), np.float64(11285.601079586555), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11232.05142871007), np.float64(11155.839042450914), np.float64(11151.594318458427), np.float64(11151.594318458427), np.float64(11151.594318458427), np.float64(11122.43596324123), np.float64(11075.381932199272), np.float64(11041.978852989585), np.float64(11041.978852989585), np.float64(11030.922647749789), np.float64(11030.922647749789), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(11007.824120635152), np.float64(10922.288481946463), np.float64(10922.288481946463), np.float64(10922.288481946463), np.float64(10922.288481946463), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10901.168707264716), np.float64(10822.599600440468), np.float64(10822.599600440468), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10809.586464003896), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10755.234601272887), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973), np.float64(10698.224371495973)]"
berlin52.tsp,GA,1,13587.009217698293,3.0056698322296143,80.15127575839688,"[np.float64(24944.063879745376), np.float64(24944.063879745376), np.float64(24944.063879745376), np.float64(23310.232870482352), np.float64(23241.237480359345), np.float64(22872.134690184757), np.float64(21668.43664036824), np.float64(21668.43664036824), np.float64(21542.933722773247), np.float64(20812.095522400567), np.float64(20123.815512917532), np.float64(19614.741243065204), np.float64(19614.741243065204), np.float64(19264.155813504207), np.float64(19104.19963656185), np.float64(18656.27108230283), np.float64(18656.27108230283), np.float64(18539.373356014345), np.float64(18056.877281532208), np.float64(17399.492229613526), np.float64(17399.492229613526), np.float64(17399.492229613526), np.float64(16885.008963780034), np.float64(16678.6350204532), np.float64(16678.6350204532), np.float64(16678.6350204532), np.float64(16678.6350204532), np.float64(16648.87183440201), np.float64(16468.573290083576), np.float64(16397.849076158534), np.float64(16397.849076158534), np.float64(16187.78734578891), np.float64(16187.78734578891), np.float64(16187.78734578891), np.float64(16164.397432086293), np.float64(16164.397432086293), np.float64(16164.397432086293), np.float64(16164.397432086293), np.float64(16142.648456719277), np.float64(16142.648456719277), np.float64(16142.648456719277), np.float64(16081.523780260077), np.float64(15915.060855931937), np.float64(15915.060855931937), np.float64(15915.060855931937), np.float64(15915.060855931937), np.float64(15862.25124511006), np.float64(15862.25124511006), np.float64(15858.929493858312), np.float64(15858.929493858312), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15461.36705427733), np.float64(15248.05372198898), np.float64(15248.05372198898), np.float64(15248.05372198898), np.float64(15248.05372198898), np.float64(15157.123042002304), np.float64(15157.123042002304), np.float64(15157.123042002304), np.float64(15026.800884344671), np.float64(15026.800884344671), np.float64(14874.609424845077), np.float64(14813.185576256024), np.float64(14686.19463165149), np.float64(14686.19463165149), np.float64(14686.19463165149), np.float64(14615.027222691058), np.float64(14599.637089404567), np.float64(14599.637089404567), np.float64(14569.156334870115), np.float64(14501.934290823687), np.float64(14501.934290823687), np.float64(14418.010151224713), np.float64(14418.010151224713), np.float64(14402.625538245704), np.float64(14402.625538245704), np.float64(14402.625538245704), np.float64(14402.625538245704), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14205.477060179142), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14183.219150637055), np.float64(14126.70821459936), np.float64(14126.70821459936), np.float64(14070.829026023595), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(14001.50330033616), np.float64(13998.215136212195), np.float64(13998.215136212195), np.float64(13998.215136212195), np.float64(13998.215136212195), np.float64(13998.215136212195), np.float64(13982.183883901753), np.float64(13982.183883901753), np.float64(13914.127333817703), np.float64(13911.970413271501), np.float64(13911.970413271501), np.float64(13911.970413271501), np.float64(13863.259542736594), np.float64(13843.4953238895), np.float64(13843.4953238895), np.float64(13843.4953238895), np.float64(13769.607027042206), np.float64(13701.131937660204), np.float64(13701.131937660204), np.float64(13662.028122737436), np.float64(13662.028122737436), np.float64(13662.028122737436), np.float64(13662.028122737436), np.float64(13618.318001161024), np.float64(13618.318001161024), np.float64(13618.318001161024), np.float64(13618.318001161024), np.float64(13618.318001161024), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13601.808438278496), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293), np.float64(13587.009217698293)]"
berlin52.tsp,ACO,0,8124.970897603676,3.0243747234344482,7.72965920980743,"[np.float64(13408.018284269097), np.float64(13408.018284269097), np.float64(13408.018284269097), np.float64(13408.018284269097), np.float64(13408.018284269097), np.float64(13408.018284269097), np.float64(13095.443803532724), np.float64(13095.443803532724), np.float64(13022.602068772487), np.float64(13022.602068772487), np.float64(12742.73977046843), np.float64(12026.60909047205), np.float64(12026.60909047205), np.float64(12026.60909047205), np.float64(11687.785411583753), np.float64(11687.785411583753), np.float64(11687.785411583753), np.float64(11492.978661244426), np.float64(11492.978661244426), np.float64(11492.978661244426), np.float64(11442.895161282779), np.float64(10523.014245607073), np.float64(10521.421067867737), np.float64(10521.421067867737), np.float64(10521.421067867737), np.float64(10521.421067867737), np.float64(10521.421067867737), np.float64(10033.005695882053), np.float64(10017.842853890614), np.float64(9974.792525812634), np.float64(9875.59083856551), np.float64(9875.59083856551), np.float64(9875.59083856551), np.float64(9446.677235232519), np.float64(9446.677235232519), np.float64(9446.677235232519), np.float64(9446.677235232519), np.float64(9446.677235232519), np.float64(9299.122628637808), np.float64(9018.77365664622), np.float64(9018.77365664622), np.float64(9018.77365664622), np.float64(9018.77365664622), np.float64(9018.77365664622), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8502.25038840901), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676), np.float64(8124.970897603676)]"
berlin52.tsp,ACO,1,8134.553400029029,3.0166311264038086,7.856714399748463,"[np.float64(12566.989412099625), np.float64(12566.989412099625), np.float64(12566.989412099625), np.float64(12480.233329100347), np.float64(12480.233329100347), np.float64(12480.233329100347), np.float64(12480.233329100347), np.float64(12480.233329100347), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11843.018853600799), np.float64(11744.612402466772), np.float64(11744.612402466772), np.float64(10982.27136863187), np.float64(10982.27136863187), np.float64(10982.27136863187), np.float64(10982.27136863187), np.float64(10982.27136863187), np.float64(10982.27136863187), np.float64(10423.179801853159), np.float64(10423.179801853159), np.float64(10423.179801853159), np.float64(10251.77475068692), np.float64(10176.997421032424), np.float64(10176.997421032424), np.float64(9812.076834724494), np.float64(9812.076834724494), np.float64(9812.076834724494), np.float64(9812.076834724494), np.float64(9482.96890947658), np.float64(9482.96890947658), np.float64(9482.96890947658), np.float64(9027.084228420114), np.float64(9027.084228420114), np.float64(8895.066611790338), np.float64(8895.066611790338), np.float64(8895.066611790338), np.float64(8868.616764530841), np.float64(8868.616764530841), np.float64(8868.616764530841), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8780.425611829804), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8769.45093392257), np.float64(8727.583361902292), np.float64(8727.583361902292), np.float64(8332.784072768993), np.float64(8332.784072768993), np.float64(8332.784072768993), np.float64(8332.784072768993), np.float64(8332.784072768993), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029), np.float64(8134.553400029029)]"
